ประทับเวลา,1. ตรวจเช็คการทำงานของพัดลม   ,2. ตรวจเช็คระบบปั๊มน้ำ       ,3. ตรวจเช็คระบบเดรน       ,4. ตรวจเช็คการสั่นสะเทือนของตัว EVAP,5. ตรวจเช็คคราบนํ้าหยดในไลน์ผลิต,หมายเหตุ : กรณีพบสิ่งผิดปกติให้ระบุรายละเอียด,ชื่อผู้ตรวจเช็ค
"24/10/2024, 8:35:21",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"25/10/2024, 8:23:18",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"29/10/2024, 8:34:41",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"30/10/2024, 8:43:28",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"31/10/2024, 8:50:19",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"2/11/2024, 7:39:54",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"3/11/2024, 7:37:37",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"5/11/2024, 7:13:51",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"6/11/2024, 7:36:09",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"7/11/2024, 7:07:45",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"8/11/2024, 7:44:16",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"9/11/2024, 6:30:45",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"10/11/2024, 6:28:49",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"11/11/2024, 7:45:52",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"12/11/2024, 7:04:13",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"13/11/2024, 7:40:37",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"14/11/2024, 6:55:11",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"15/11/2024, 7:10:38",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"17/11/2024, 13:34:24",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"20/11/2024, 7:48:55",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,F
"21/11/2024, 7:49:46",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,F
"6/12/2024, 8:02:39",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"6/12/2024, 8:05:56",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"7/12/2024, 7:39:38",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"8/12/2024, 8:06:50",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"9/12/2024, 7:30:39",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"11/12/2024, 6:57:12",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,boss
"12/12/2024, 7:18:54",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"13/12/2024, 7:04:10",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,boss
"14/12/2024, 6:49:53",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"15/12/2024, 8:01:48",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"16/12/2024, 7:59:20",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"16/12/2024, 8:18:41",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"17/12/2024, 8:54:29",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"19/12/2024, 9:02:36",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"20/12/2024, 8:23:07",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"21/12/2024, 11:19:07",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"23/12/2024, 7:35:32",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"24/12/2024, 7:30:39",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"25/12/2024, 7:06:56",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"26/12/2024, 7:39:07",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"3/1/2025, 7:35:59",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"6/1/2025, 7:02:36",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"7/1/2025, 7:03:56",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"8/1/2025, 7:24:01",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"9/1/2025, 7:14:08",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"10/1/2025, 7:06:42",ผิดปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"13/1/2025, 8:09:50",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"14/1/2025, 8:28:24",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ไม่ติด,ณรงค์ศักดิ์
"15/1/2025, 8:52:21",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"16/1/2025, 6:39:59",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,เคื่องช็อต ,ณรงค์ศักดิ์
"17/1/2025, 7:08:22",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,กล่องเคื่องช้อต เสียรอซ่อม,ณรงค์ศักดิ์
"18/1/2025, 7:16:52",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,กล่องเครื่องเสีย,ณรงค์ศักดิ์
"19/1/2025, 7:14:22",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,กล่องเครื่องช็อตเสีย,ณรงค์ศักดิ์
"20/1/2025, 7:08:42",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,กล่องเสีย+สายพาวเวอร์,boss
"21/1/2025, 6:54:28",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,Boss
"22/1/2025, 7:13:58",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,Boss
"23/1/2025, 7:12:52",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,Boss
"24/1/2025, 7:02:05",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,Boss
"27/1/2025, 8:22:35",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"28/1/2025, 8:22:01",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ไม่ทำงาน ติดๆดับๆ ผิดปกติ ,ณรงค์ศักดิ์
"29/1/2025, 6:38:42",ปกติ,ปกติ,ปกติ,ปกติ,ผิดปกติ,แผ่น Cooling ตัน น้ำกระเด็น ลงปล่องลงในผลิต,ณรงค์ศักดิ์
"30/1/2025, 6:53:33",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,แผ่นโคลิ่งตัน,ณรงค์ศักดิ์
"31/1/2025, 6:47:50",ปกติ,ปกติ,ปกติ,ปกติ,ผิดปกติ,แผ่นโคลิ่งตัน ทำไห้ลมดูดน้ำกระเด็นเข้าในปล่อง,ณรงค์ศักดิ์
"2/2/2025, 7:14:43",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"3/2/2025, 7:00:49",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"4/2/2025, 6:44:53",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"7/2/2025, 6:31:00",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,Boss
"10/2/2025, 6:39:29",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"11/2/2025, 6:50:43",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,แผ่นโคลิ่งตัน ทำไห้น้ำเข้าในปล่องได้,ณรงค์ศักดิ์
"12/2/2025, 6:56:42",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"17/2/2025, 5:49:13",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"18/2/2025, 7:01:11",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"20/2/2025, 6:56:52",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"24/2/2025, 7:11:33",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,รุท่อน้ำหยดต้น แผ่นโคลิ่งเปียกไม่ทั่ว,ณรงค์ศักดิ์
"26/2/2025, 7:36:31",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"27/2/2025, 7:04:24",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"1/3/2025, 6:37:53",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"2/3/2025, 6:47:07",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"10/3/2025, 6:48:24",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"11/3/2025, 6:48:31",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"13/3/2025, 6:59:17",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"14/3/2025, 7:35:33",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"15/3/2025, 7:29:47",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"18/3/2025, 6:57:37",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"19/3/2025, 6:43:12",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"20/3/2025, 5:38:15",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"21/3/2025, 6:42:00",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"22/3/2025, 6:27:14",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"24/3/2025, 6:49:56",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"25/3/2025, 7:18:58",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"26/3/2025, 6:57:38",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"28/3/2025, 8:12:34",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"29/3/2025, 7:29:47",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"31/3/2025, 6:49:20",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"1/4/2025, 7:02:37",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"2/4/2025, 7:00:43",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"3/4/2025, 6:26:28",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"4/4/2025, 6:30:30",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"5/4/2025, 6:05:45",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"7/4/2025, 7:15:17",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,689285
"8/4/2025, 7:02:39",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,วุฒิชัย
"9/4/2025, 7:16:47",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,วุฒิชัย
"10/4/2025, 7:02:33",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,วุฒิชัย
"11/4/2025, 7:02:18",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,วุฒิชัย
"12/4/2025, 7:17:01",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,วุฒิชัย
"23/4/2025, 6:59:47",ปกติ,ผิดปกติ,ปกติ,ปกติ,ปกติ,,Boss
"24/4/2025, 7:07:21",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"25/4/2025, 6:33:30",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"26/4/2025, 7:21:23",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"28/4/2025, 6:53:01",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,วุฒิชัย
