ประทับเวลา,1. ตรวจเช็คการทำงานของพัดลม   ,2. ตรวจเช็คระบบปั๊มน้ำ       ,3. ตรวจเช็คระบบเดรน       ,4. ตรวจเช็คการสั่นสะเทือนของตัว EVAP,5. ตรวจเช็คคราบนํ้าหยดในไลน์ผลิต,หมายเหตุ : กรณีพบสิ่งผิดปกติให้ระบุรายละเอียด,ชื่อผู้ตรวจเช็ค
"24/10/2024, 8:36:39",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"25/10/2024, 8:23:54",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"29/10/2024, 8:35:10",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"30/10/2024, 8:44:05",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"31/10/2024, 8:51:02",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"2/11/2024, 7:38:12",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"3/11/2024, 7:35:00",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"5/11/2024, 7:12:34",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"6/11/2024, 7:34:56",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"7/11/2024, 7:06:14",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"8/11/2024, 7:42:55",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"9/11/2024, 6:29:15",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"10/11/2024, 6:27:35",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"11/11/2024, 7:47:43",ปกติ,ปกติ,ปกติ,ปกติ,ผิดปกติ,มีน้ำหยดในไลน์ผลิต,Boss
"12/11/2024, 7:05:05",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"13/11/2024, 7:41:24",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"14/11/2024, 6:56:05",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"15/11/2024, 7:11:34",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"17/11/2024, 13:32:49",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"20/11/2024, 7:47:23",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,F
"21/11/2024, 7:47:34",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,F
"22/11/2024, 7:41:13",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,F
"23/11/2024, 7:44:31",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,F
"7/12/2024, 7:36:49",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"8/12/2024, 8:03:55",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"9/12/2024, 7:28:46",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"11/12/2024, 6:55:05",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,boss 
