ประทับเวลา,1. ตรวจเช็คการทำงานของพัดลม   ,2. ตรวจเช็คระบบปั๊มน้ำ       ,3. ตรวจเช็คระบบเดรน       ,4. ตรวจเช็คการสั่นสะเทือนของตัว EVAP,5. ตรวจเช็คคราบนํ้าหยดในไลน์ผลิต,หมายเหตุ : กรณีพบสิ่งผิดปกติให้ระบุรายละเอียด,ชื่อผู้ตรวจเช็ค
"24/10/2024, 8:34:58",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"25/10/2024, 8:22:59",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"29/10/2024, 8:34:28",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"30/10/2024, 8:43:11",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"31/10/2024, 8:50:01",ปกติ,ปกติ,ปกติ,ปกติ,,,Boss
"2/11/2024, 7:39:32",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"3/11/2024, 7:37:23",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"5/11/2024, 7:13:37",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"6/11/2024, 7:35:56",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"7/11/2024, 7:07:30",ปกติ,ปกติ,ปกติ,ปกติ,,,อลงกรณ์
"8/11/2024, 7:43:59",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"9/11/2024, 6:30:31",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"10/11/2024, 6:28:36",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"11/11/2024, 7:45:28",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"12/11/2024, 7:03:52",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"13/11/2024, 7:40:12",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"14/11/2024, 6:54:47",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"15/11/2024, 7:07:07",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"17/11/2024, 13:34:02",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,อลงกรณ์
"20/11/2024, 7:48:36",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,F
"21/11/2024, 7:49:29",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,F
"22/11/2024, 7:42:16",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,F
"6/12/2024, 8:01:49",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"7/12/2024, 7:39:06",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"8/12/2024, 8:06:29",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"9/12/2024, 7:30:21",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"11/12/2024, 6:56:33",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,boss
"12/12/2024, 7:18:35",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"13/12/2024, 7:03:53",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,boss
"14/12/2024, 6:49:39",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"15/12/2024, 8:01:30",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"16/12/2024, 7:59:00",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"16/12/2024, 8:18:20",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"17/12/2024, 8:54:11",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"19/12/2024, 9:00:17",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"19/12/2024, 9:02:18",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์ ศรีพงษ์ชู
"20/12/2024, 8:22:46",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"21/12/2024, 11:18:38",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"23/12/2024, 7:35:17",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"24/12/2024, 7:30:23",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"25/12/2024, 7:06:42",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"26/12/2024, 7:38:53",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"3/1/2025, 7:35:31",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"4/1/2025, 9:09:33",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,ณรงค์ศักดิ์
"6/1/2025, 7:02:21",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"7/1/2025, 7:03:44",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"8/1/2025, 7:23:38",ปกติ,ปกติ,ปกติ,ปกติ,ปกติ,,Boss
"9/1/2025, 7:13:55",ปกติ,ผิดปกติ,ปกติ,ปกติ,ปกติ,,Boss
"10/1/2025, 7:06:13",ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,ผิดปกติ,,Boss
